text,label
Пёс охранял мой велосипед.,1
Сплю в зимней куртке — нет отопления.,2
Проверил давление в шинах.,0
Пса покусал клещ.,1
Погладил одежду перед работой.,0
Сложил бельё в шкаф.,0
Прошу помощи в интернете.,2
Собака боится громких звуков.,1
Собака устроилась на подоконнике.,1
Читал статью про будущее квантовых компьютеров.,0
Остался без зарплаты на месяц.,2
Щенок испугался зеркала.,1
Не могу поехать на море — дорого.,2
Стал брать еду в долг в магазине.,2
Щенок залез на кровать.,1
Думал устроиться на вторую работу.,2
Снял последние деньги с телефона.,2
Осталась мелочь в кармане.,2
Собрал пазл вечером.,0
Раздал все сбережения на долги.,2
Собака легла прямо на клавиатуру.,1
Обновил профиль в соцсетях.,0
Нет денег на проезд — иду пешком.,2
Посмотрел курс по истории.,0
Питаюсь только кашей.,2
Пёс съел документы с работы.,1
Скачал новое приложение для заметок.,0
Живу без горячей воды.,2
Поставил чайник и ждал закипания.,0
"Сломался холодильник, а денег на ремонт нет.",2
Вывел пыль из компьютера.,0
Пёс сидит у двери и ждёт меня.,1
В питомнике родились щенки.,1
Не смог купить учебники.,2
Проверил уровень масла в машине.,0
Купил только самое необходимое — денег мало.,2
Не хватает на проезд к работе.,2
Приготовил завтрак сам.,0
Наши дети очень любят собаку.,1
Полил комнатные растения.,0
Протёр очки.,0
Слушал подкаст о психологии.,0
"Пёс смотрит, как я ем, и облизывается.",1
Собака облаяла прохожего.,1
Не за что купить даже хлеба.,2
Подстриг ногти и побрился.,0
Купил хлеб и молоко в магазине.,0
Собака с удовольствием ела грушу.,1
Каждый рубль на счету.,2
Положил вещи в чемодан.,0
Беру просрочку из магазина.,2
Пёс смотрит мультики с детьми.,1
Продал телефон — хожу со старым.,2
Собака лизнула меня в лицо.,1
"Собака лает, когда слышит шаги.",1
Сдаю свою комнату и живу у знакомых.,2
Обновил обои на рабочем столе.,0
Ем один раз в день.,2
Поздравил друга с днём рождения.,0
Зашёл в кофейню по дороге домой.,0
Наш пёс спас котёнка.,1
Разморозил холодильник.,0
Щенок просится на ручки.,1
Записал рецепт от бабушки.,0
Пропустил обед — экономлю.,2
Сложно купить даже мыло.,2
Пёс испортил ковер.,1
Задолжал по коммуналке.,2
Отказался от подарка — не потяну.,2
Собака любит смотреть в окно.,1
Не хватает даже на хлеб.,2
Собрал стол из икеи.,0
Отказался от чашки кофе в кафе.,2
Поиграл с младшим братом в приставку.,0
Сделал себе прическу.,0
Хожу в библиотеку — нет денег на книги.,2
Пёс учится новым командам.,1
Щенок украл носок.,1
Нет денег на школьную форму ребёнку.,2
Щенок боится лифта.,1
Перенёс встречи в календаре.,0
Покупаю только просроченные продукты.,2
Переустановил операционную систему.,0
Щенок съел тапок.,1
Пёс радостно встречает гостей.,1
Сходил в аптеку.,0
Выключаю свет во всех комнатах.,2
Беру продукты по акциям.,2
Записался на бесплатный курс — другого не могу.,2
Поехал на велосипеде в парк.,0
Настроил Wi-Fi роутер дома.,0
Сегодня мы купались с псом в речке.,1
Отложил поход к врачу — дорого.,2
Нет денег на школу ребёнку.,2
Щенок храпит во сне.,1
Моя собака не любит купаться.,1
Переставил мебель в комнате.,0
Купили игрушку для собаки.,1
Пёс прячется под креслом.,1
Щенок укусил за палец.,1
Поиграл на фортепиано немного.,0
Составил список покупок.,0
Зашёл в супермаркет за йогуртом.,0
Пёс вырвался с поводка и убежал.,1
Съездил на автобусе в соседний район.,0
Пропустил свадьбу друга — не смог оплатить поездку.,2
Посетил художественную галерею.,0
Питаюсь рисом уже неделю.,2
Занимаю деньги на дорогу.,2
Настроил будильник на выходные.,0
Собака съела мою домашку.,1
Не еду на день рождения — стыдно без подарка.,2
Живу от зарплаты до зарплаты.,2
Записался к стоматологу.,0
Приходится выбирать: еда или транспорт.,2
Протёр пыль с книжной полки.,0
Нет денег на зимнюю обувь.,2
Собака грустит без нас.,1
"Жду аванса, чтобы купить еду.",2
Щенок играет с детьми во дворе.,1
Съездил за продуктами на дачу.,0
Пропустил поездку к родителям — нет денег.,2
Написал открытку другу.,0
Попросил отсрочку по аренде.,2
Собака не захотела есть утром.,1
Играл в настольный теннис с другом.,0
Выучил новую песню на гитаре.,0
Собака успокоилась после прогулки.,1
Пёс заскочил в лужу.,1
Щенок проснулся и начал лаять.,1
Оплачиваю кредит — и ничего не остаётся.,2
Вынужден экономить на всём.,2
Отменил ремонт — нет бюджета.,2
Собака спит в обнимку с подушкой.,1
Не могу позволить себе ремонт зубов.,2
Сделал фото нового маникюра.,0
Пришлось продать ноутбук.,2
Щенок грызёт провода.,1
Пёс испугался дождя.,1
Почистил клавиатуру от пыли.,0
"Не могу записаться на курсы, нет средств.",2
Щенок играл с игрушкой весь вечер.,1
Сняли последнюю копейку со счёта.,2
Скачал обновление для программы.,0
Собака не дала мне поспать.,1
Сделал новую аватарку в соцсетях.,0
Щенок начал есть сухой корм.,1
Собака боится фейерверков.,1
Пробовал новое приложение для планирования задач.,0
Щенок впервые увидел снег.,1
Плачу частями — иначе не выйдет.,2
Отказался от спорта из-за стоимости.,2
Пёс рычит на пылесос.,1
Попробовал новый кофе.,0
Не могу оплатить мобильную связь.,2
Читал новости утром за чашкой чая.,0
Не за что купить лекарства.,2
Пёс проспал весь день.,1
Сходил на маникюр.,0
Залил бензин в машину.,0
Загрузил свежие обои для телефона.,0
Сделал зарядку утром.,0
"Продал гитару, чтобы заплатить за учёбу.",2
"Пёс скулит, когда один дома.",1
Разговаривал с родителями по телефону.,0
Наш бульдог тяжело дышит.,1
Продаю вещи через интернет.,2
Щенок притащил свою миску ко мне.,1
Не хватает на оплату электричества.,2
Отменил все поездки.,2
"Продал телефон, чтобы купить продукты.",2
Сделал уборку в кладовке.,0
Щенок впервые увидел кошку.,1
Уменьшил потребление электричества — экономлю.,2
Пошёл на рынок за фруктами.,0
Покупаю одежду только по распродажам.,2
Пёс скулил во сне.,1
"Пёс лёг рядом, когда я заболел.",1
Собака нюхает каждый куст.,1
"Хотел сходить в кафе, но денег нет.",2
Завёл будильник на 7:30.,0
Собака принесла газету.,1
Щенок виляем хвостом от радости.,1
Нет денег на еду ребёнку.,2
Собака охраняет входную дверь.,1
Больше не могу позволить себе интернет.,2
Перекинул фото с телефона на компьютер.,0
Завёл ежедневник на следующий месяц.,0
Собака нашла старую игрушку.,1
Посмотрел документальный фильм про природу.,0
Поставил напоминание о встрече.,0
Одежда вся порвана — нет новой.,2
Пёс поскользнулся на полу.,1
Сделал фото заката.,0
Щенок нашёл старую игрушку под диваном.,1
Собака съела мой бутерброд.,1
Переобулся в зимнюю обувь.,0
Послушал аудиокнигу по дороге.,0
Отменил подписки — слишком дорого.,2
"Нет денег на бензин, хожу пешком.",2
Щенок соскочил с дивана.,1
"Съездил на дачу, покосил траву.",0
Друзья скинулись мне на проезд.,2
Разобрал папки на рабочем столе.,0
Протёр экран телефона.,0
Пёс спрятал кость за креслом.,1
Вынужден отказаться от хобби.,2
"Проиграл в инвестициях, теперь без средств.",2
Зашёл в аптеку за витаминами.,0
Уволили без выходного пособия.,2
Щенок обрадовался новой подушке.,1
Щенок грызёт ножку стула.,1
Мы оставили собаку у бабушки.,1
Я играл в шахматы с другом.,0
Поставил будильник на завтра.,0
Пёс потерял свой мячик.,1
